Moon 1,2556/0,0,2556/0,[1],None,None,2556/2
Claire Battle,2557/0,0,2557/0,[1],None,None,2557/2
Moon 2 Wingly City,2558/0,0,2558/0,[1],None,None,2558/2
Archangel Battle,2559/0,0,2559/0,[1],None,None,2559/2
Moon 3 TV Stage,2560/0,0,2560/0,[1],None,None,2560/2
Zieg Battle,2561/0,0,2561/0,[1],None,None,2561/2
Melbu Stage 1,2562/0,0,2562/0,[1],None,None,2562/2
Moon Road,2563/0,0,2563/0,[1],None,None,2563/2
Zenebatos Bosses,2564/0,0,2564/0,[1],None,None,2564/2
Mayfil Bosses,2565/0,0,2565/0,[1],None,None,2565/2
Aglis Boss Last Kraken,2566/0,0,2566/0,[1],None,None,2566/2
Hellena Prison Jiango,2567/0,0,2567/0,[1],None,None,2567/2
Red Eyed Dragon Dimension,2568/0,0,2568/0,[1],None,None,2568/2
Jade Dragon Dimension,2569/0,0,2569/0,[1],None,None,2569/2
Blue Sea Dragon Dimension,2570/0,0,2570/0,[1],None,None,2570/2
Dark Dragon Dimension,2571/0,0,2571/0,[1],None,None,2571/2
White Silver Dragon Dimension,2572/0,0,2572/0,[1],None,None,2572/2
Golden Dragon Dimension,2573/0,0,2573/0,[1],None,None,2573/2
Violet Dragon Dimension,2574/0,0,2574/0,[1],None,None,2574/2
Divine Dragon Dragon Dimension,2575/0,0,2575/0,[1],None,None,2575/2
Death Rose Battle,2576/0,0,2576/0,[1],None,None,2576/2
Death Rose Battle 2,2577/0,0,2577/0,[1],None,None,2577/2
Old Home of Gigantos,2578/0,0,2578/0,[1],None,None,2578/2
Indora Battle,2579/0,0,2579/0,[1],None,None,2579/2
Moon Dragon Mountain,2580/0,0,2580/0,[1],None,None,2580/2
Michael Battle,2581/0,0,2581/0,[1],None,None,2581/2
Doel Battle,2582/0,0,2582/0,[1],None,None,2582/2
North Serdio Woods,2583/0,0,2583/0,[1],None,None,2583/2
South Serdio Woods,2584/0,0,2584/0,[1],None,None,2584/2
Queens Fury Ship,2585/0,0,2585/0,[1],None,None,2585/2
Tiberoa Desert,2586/0,0,2586/0,[1],None,None,2586/2
Hoax Last Stand Cutscene,2587/0,0,2587/0,[1],None,None,2587/2
Volcano Villude Virage Cutscene,2588/0,0,2588/0,[1],None,None,2588/2
Nest of Dragon Inside,2589/0,0,2589/0,[1],None,None,2589/2
Melbu Frahma 2nd Stage,2590/0,0,2590/0,[1],None,None,2590/2
Melbu Frahma 3rd Generation Cutscene,2591/0,0,2591/0,[1],None,None,2591/2
Melbu Frahma 3rd Generation Cutscene 2,2592/0,0,2592/0,[1],None,None,2592/2
